MatrixPackage,Year,Bank,Code,MatrixRateModel,MatrixRateStyle,EndDate,MatirxRebatesSum,AISRebatesSum,Rebate1,RebateDefault1,MatrixValue1,AISValue1,Rebate2,RebateDefault2,MatrixValue2,AISValue2,Rebate3,RebateDefault3,MatrixValue3,AISValue3,Rebate4,RebateDefault4,MatrixValue4,AISValue4,Rebate5,RebateDefault5,MatrixValue5,AISValue5,Rebate6,RebateDefault6,MatrixValue6,AISValue6,Rebate7,RebateDefault7,MatrixValue7,AISValue7,Rebate8,RebateDefault8,MatrixValue8,AISValue8,Rebate9,RebateDefault9,MatrixValue9,AISValue9,Rebate10,RebateDefault10,MatrixValue10,AISValue10,Rebate11,RebateDefault11,MatrixValue11,AISValue11,Rebate12,RebateDefault12,MatrixValue12,AISValue12
2024 Acura Integra Hatchback,2024,American Honda Finance (Acura),DE4G7RJW A-SPEC TECH MT,INTEGRA,DE4G7RJW 5dr HB A-Spec Tech Package MT,12/31/2025 0:00,1250,1750,Captive Lease Offer,Y,0,750,2024 Integra Sell-Down AFS Captive Bonus Offer,N,0,1000,Acura Lease Cash,Y,0,0,Acura Graduate Bonus Offer,N,500,0,Acura Mobility Assistance Program,N,0,0,Acura Military Appreciation Offer,N,750,0,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura Integra Hatchback,2024,Cal Automotive,DE4G7RJW A-SPEC TECH MT,INTEGRA,DE4G7RJW 5dr HB A-Spec Tech Package MT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura Integra Hatchback,2024,American Honda Finance (Acura),DE4H2RJW,INTEGRA,DE4H2RJW 5dr HB AT,12/31/2025 0:00,1250,1750,Acura Military Appreciation Offer,N,750,0,Acura Mobility Assistance Program,N,0,0,Acura Graduate Bonus Offer,N,500,0,Acura Lease Cash,Y,0,0,2024 Integra Sell-Down AFS Captive Bonus Offer,N,0,1000,Captive Lease Offer,Y,0,750,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura Integra Hatchback,2024,Cal Automotive,DE4H2RJW,INTEGRA,DE4H2RJW 5dr HB AT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura Integra Hatchback,2024,American Honda Finance (Acura),DE4H3RJW A-SPEC,INTEGRA,DE4H3RJW 5dr HB A-Spec Package AT,12/31/2025 0:00,1250,1750,Captive Lease Offer,Y,0,750,2024 Integra Sell-Down AFS Captive Bonus Offer,N,0,1000,Acura Lease Cash,Y,0,0,Acura Graduate Bonus Offer,N,500,0,Acura Mobility Assistance Program,N,0,0,Acura Military Appreciation Offer,N,750,0,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura Integra Hatchback,2024,Cal Automotive,DE4H3RJW A-SPEC,INTEGRA,DE4H3RJW 5dr HB A-Spec Package AT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura Integra Hatchback,2024,American Honda Finance (Acura),DE4H6RJW A-SPEC TECH,INTEGRA,DE4H6RJW 5dr HB A-Spec Tech Package AT,12/31/2025 0:00,1250,1750,Acura Military Appreciation Offer,N,750,0,Acura Mobility Assistance Program,N,0,0,Acura Graduate Bonus Offer,N,500,0,Acura Lease Cash,Y,0,0,2024 Integra Sell-Down AFS Captive Bonus Offer,N,0,1000,Captive Lease Offer,Y,0,750,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura Integra Hatchback,2024,Cal Automotive,DE4H6RJW A-SPEC TECH,INTEGRA,DE4H6RJW 5dr HB A-Spec Tech Package AT,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,American Honda Finance (Acura),YD8H8RKNW Type S Advance,MDX AWD,YD8H8RKNW 4dr Wgn Type-S Advance,12/31/2025 0:00,1250,3000,Acura Lease Loyalty Offer,N,0,1500,Acura Lease Loyalty Offer,N,0,1500,Acura Lease Cash,Y,0,0,Acura Graduate Bonus Offer,N,500,0,Acura Mobility Assistance Program,N,0,0,Acura Military Appreciation Offer,N,750,0,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,American Honda Finance (Acura),YD8H8RKNW Type S Advance,MDX AWD,YE1H8RKNW 4dr Wgn Advance,12/31/2025 0:00,1250,3000,Acura Lease Loyalty Offer,N,0,1500,Acura Lease Loyalty Offer,N,0,1500,Acura Lease Cash,Y,0,0,Acura Graduate Bonus Offer,N,500,0,Acura Mobility Assistance Program,N,0,0,Acura Military Appreciation Offer,N,750,0,,,,,,,,,,,,,,,,,,,,,,,,
