Search:,,,,,,,,,,,,,,
Package,Bank,MSRP,Invoice,Formula,Buying,Selling Price,MF,Residual,Default Rebates,Adjusted Cap Cost,Non Default Rebates,Rate Model,Rate Style,Term
2024 Acura ZDX AWD SUV,American Honda Finance (Acura),"70,450","69,208",98.24%,0,"69,208",0.0012,41%,"Clean Vehicle Lease Credit (7,500)
Captive Lease Offer (7,200)
Dealer / Lease / Finance Cash (5,500)
Regional Captive Lease Offer (1,650)
Total: 21,850
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",ZDX AWD,3B2H4REW 4dr Wgn A-Spec,36
2024 Acura ZDX AWD SUV,American Honda Finance (Acura),"75,450","73,970",98.04%,0,"73,970",0.0012,40%,"Clean Vehicle Lease Credit (7,500)
Captive Lease Offer (7,200)
Dealer / Lease / Finance Cash (2,000)
Regional Captive Lease Offer (1,650)
Total: 18,350
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",ZDX AWD,3B2H6REW 4dr Wgn Type S,36
2025 Acura Integra Hatchback,American Honda Finance (Acura),"39,195","37,689",96.16%,0,"37,689",0.0018,47%,"Captive Lease Offer (350)
Acura Lease Cash (0)
Total: 350
link",,"Loyalty/Conquest Offer (1,250)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",INTEGRA,DE4H6SJW 5dr HB A-Spec Tech Package AT,48
2025 Acura Integra Hatchback,American Honda Finance (Acura),"39,195","37,689",96.16%,0,"37,689",0.0018,47%,"Captive Lease Offer (350)
Acura Lease Cash (0)
Total: 350
link",,"Loyalty/Conquest Offer (1,250)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",INTEGRA,DE4G7SJW 5dr HB A-Spec Tech Package MT,48
2025 Acura Integra Hatchback,American Honda Finance (Acura),"34,195","33,377",97.61%,0,"33,377",0.0018,48%,"Captive Lease Offer (350)
Acura Lease Cash (0)
Total: 350
link",,"Loyalty/Conquest Offer (1,250)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",INTEGRA,DE4H2SJW 5dr HB AT,48
2025 Acura Integra Hatchback,American Honda Finance (Acura),"36,195","34,864",96.32%,0,"34,864",0.0018,47%,"Captive Lease Offer (350)
Acura Lease Cash (0)
Total: 350
link",,"Loyalty/Conquest Offer (1,250)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",INTEGRA,DE4H3SJW 5dr HB A-Spec Package AT,48
2025 Acura Integra Hatchback,American Honda Finance (Acura),"54,695","52,594",96.16%,0,"52,594",0.00295,53%,"Captive Lease Offer (350)
Acura Lease Cash (0)
Total: 350
link",,"Loyalty/Conquest Offer (1,250)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",INTEGRA,DE5G9SEW 5dr HB Type S MT,48
2025 Acura MDX 2WD 7 Passenger,American Honda Finance (Acura),"58,250","54,830",94.13%,"-1,300","56,130",0.00174,46%,"Captive Lease Offer (2,900)
Acura Lease Cash (0)
Total: 2,900
link",,"Loyalty/Conquest Offer (1,000)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX 2WD,YD9H4SKNW 4dr Wgn Tech,48
2025 Acura MDX AWD 7 Passenger,American Honda Finance (Acura),"63,450","59,726",94.13%,"-1,500","61,226",0.00174,46%,"Captive Lease Offer (2,900)
Acura Lease Cash (0)
Total: 2,900
link",,"Loyalty/Conquest Offer (1,000)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX AWD,YE1H0SKNW 4dr Wgn Tech A-Spec,48
2025 Acura MDX AWD 7 Passenger,American Honda Finance (Acura),"60,450","57,023",94.33%,"-1,500","58,523",0.00174,46%,"Captive Lease Offer (2,900)
Acura Lease Cash (0)
Total: 2,900
link",,"Loyalty/Conquest Offer (1,000)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX AWD,YE1H4SKNW 4dr Wgn Tech,48
2025 Acura MDX AWD 7 Passenger,American Honda Finance (Acura),"69,950","65,700",93.92%,"-1,500","67,200",0.00174,43%,"Captive Lease Offer (2,900)
Acura Lease Cash (0)
Total: 2,900
link",,"Loyalty/Conquest Offer (1,000)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX AWD,YE1H9SKNW 4dr Wgn A-Spec Advance,48
2025 Acura MDX AWD 7 Passenger,American Honda Finance (Acura),"67,950","63,823",93.93%,"-1,500","65,323",0.00174,43%,"Captive Lease Offer (2,900)
Acura Lease Cash (0)
Total: 2,900
link",,"Loyalty/Conquest Offer (1,000)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX AWD,YE1H8SKNW 4dr Wgn Advance,48
2025 Acura MDX AWD 7 Passenger,American Honda Finance (Acura),"54,300","52,958",97.53%,"-1,500","54,458",0.00174,48%,"Captive Lease Offer (2,900)
Acura Lease Cash (0)
Total: 2,900
link",,"Loyalty/Conquest Offer (1,000)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX AWD,YE1H3SJNW 4dr Wgn,48
2025 Acura RDX AWD SUV,American Honda Finance (Acura),"53,800","51,072",94.93%,"-1,000","52,072",0.00204,45%,"Captive Lease Offer (2,900)
Acura Lease Cash (0)
Total: 2,900
link",,"Loyalty/Conquest Offer (1,000)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",RDX,TC2H7SKNW 4dr Wgn Advance AWD,48
2025 Acura RDX AWD SUV,American Honda Finance (Acura),"56,400","53,540",94.93%,"-1,000","54,540",0.00204,45%,"Captive Lease Offer (2,900)
Acura Lease Cash (0)
Total: 2,900
link",,"Loyalty/Conquest Offer (1,000)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",RDX,TC2H8SKNW 4dr Wgn A-Spec Advance AWD,48
2025 Acura RDX AWD SUV,American Honda Finance (Acura),"46,050","44,917",97.54%,"-1,000","45,917",0.00204,48%,"Captive Lease Offer (2,900)
Acura Lease Cash (0)
Total: 2,900
link",,"Loyalty/Conquest Offer (1,000)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",RDX,TC2H4SJNW 4dr Wgn AWD,48
2025 Acura RDX AWD SUV,American Honda Finance (Acura),"51,650","49,135",95.13%,"-1,000","50,135",0.00204,46%,"Captive Lease Offer (2,900)
Acura Lease Cash (0)
Total: 2,900
link",,"Loyalty/Conquest Offer (1,000)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",RDX,TC2H6SKNW 4dr Wgn A-Spec AWD,48
2025 Acura RDX AWD SUV,American Honda Finance (Acura),"48,650","46,379",95.33%,"-1,000","47,379",0.00204,47%,"Captive Lease Offer (2,900)
Acura Lease Cash (0)
Total: 2,900
link",,"Loyalty/Conquest Offer (1,000)
Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",RDX,TC2H5SKNW 4dr Wgn Tech AWD,48
2024 Acura Integra Hatchback,American Honda Finance (Acura),"34,695","33,366",96.17%,-200,"33,566",0.00295,41%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",INTEGRA,DE4H3RJW 5dr HB A-Spec Package AT,48
2024 Acura Integra Hatchback,American Honda Finance (Acura),"32,695","31,907","97.59%
Avg: 97.63%",-200,"32,107",0.00295,43%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",INTEGRA,DE4H2RJW 5dr HB AT,48
2024 Acura Integra Hatchback,American Honda Finance (Acura),"37,695","36,241",96.14%,-600,"36,841",0.00295,41%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",INTEGRA,DE4H6RJW 5dr HB A-Spec Tech Package AT,48
2024 Acura Integra Hatchback,American Honda Finance (Acura),"37,695","36,241",96.14%,-600,"36,841",0.00295,41%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",INTEGRA,DE4G7RJW 5dr HB A-Spec Tech Package MT,48
2024 Acura MDX AWD 7 Passenger,American Honda Finance (Acura),"75,750","71,140",93.91%,0,"71,140",0.00295,38%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX AWD,YD8H8RKNW 4dr Wgn Type-S Advance,48
2024 Acura MDX AWD 7 Passenger,American Honda Finance (Acura),"59,000","55,656",94.33%,0,"55,656",0.00295,40%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX AWD,YE1H4RKNW 4dr Wgn Tech,48
2024 Acura MDX AWD 7 Passenger,American Honda Finance (Acura),"53,845","52,957",98.35%,0,"52,957",0.00295,41%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX AWD,YE1H3RJNW 4dr Wgn,48
2024 Acura MDX AWD 7 Passenger,American Honda Finance (Acura),"66,050","62,042",93.93%,0,"62,042",0.00295,40%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX AWD,YE1H8RKNW 4dr Wgn Advance,48
2024 Acura MDX AWD 7 Passenger,American Honda Finance (Acura),"62,500","58,833",94.13%,0,"58,833",0.00295,41%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX AWD,YE1H0RKNW 4dr Wgn Tech A-Spec,48
2024 Acura MDX AWD 7 Passenger,American Honda Finance (Acura),"70,400","66,122",93.92%,0,"66,122",0.00295,38%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",MDX AWD,YD8H9RKNW 4dr Wgn Type-S,48
2024 Acura RDX AWD SUV,American Honda Finance (Acura),"45,245","43,853","96.92%
Avg: 97.54%","-1,800","45,653",0.00295,43%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",RDX,TC2H3RJNW 4dr Wgn AWD,48
2024 Acura RDX AWD SUV,American Honda Finance (Acura),"50,895","48,418","95.13%
Avg: 95.10%","-1,800","50,218",0.00295,41%,"Acura Lease Cash (0)
Total: 0
link",,"Acura Military Appreciation Offer (750)
Acura Graduate Bonus Offer (500)
Acura Mobility Assistance Program (0)",RDX,TC2H6RKNW 4dr Wgn A-Spec AWD,48
