Make,Package,Trim,trim_extracted,Model,drive_train,body_type,Style,Rate Model,Bank,MSRP,Invoice,Formula,Buying,MatrixPackage,Year,Code,MatrixRateModel,MatrixRateStyle,Default Rebates,Nondefault Rebates,MF 12,RP 12,Live 12,MF 24,RP 24,Live 24,MF 27,RP 27,Live 27,MF 30,RP 30,Live 30,MF 33,RP 33,Live 33,MF 36,RP 36,Live 36,MF 39,RP 39,Live 39,MF 42,RP 42,Live 42,MF 48,RP 48,Live 48,Package Id,Bank Id,EndDate,MatirxRebatesSum,AISRebatesSum,Rebate1,RebateDefault1,MatrixValue1,AISValue1,Rebate2,RebateDefault2,MatrixValue2,AISValue2,Rebate3,RebateDefault3,MatrixValue3,AISValue3,Rebate4,RebateDefault4,MatrixValue4,AISValue4,Rebate5,RebateDefault5,MatrixValue5,AISValue5,Rebate6,RebateDefault6,MatrixValue6,AISValue6,Rebate7,RebateDefault7,MatrixValue7,AISValue7,Rebate8,RebateDefault8,MatrixValue8,AISValue8,Rebate9,RebateDefault9,MatrixValue9,AISValue9,Rebate10,RebateDefault10,MatrixValue10,AISValue10,Rebate11,RebateDefault11,MatrixValue11,AISValue11,Rebate12,RebateDefault12,MatrixValue12,AISValue12,Rebate13,RebateDefault13,MatrixValue13,AISValue13,package_year
Mercedes-Benz,2024 Mercedes AMG EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,AMG,EQE,AWD 4MATIC+,SUV,EQE SUV,AMG EQE,Mercedes Benz Financial,110895.0,104798.0,0.9450200640245,-3000.0,2024 Mercedes AMG EQE SUV,2024,AMGEQEX4 AMG EQEX4,EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,,,,,,0.00042,51.0,True,0.00042,50.0,True,0.00042,49.0,True,0.00042,48.0,True,0.00042,47.0,True,0.00042,45.0,True,0.00042,44.0,True,0.00042,38.0,True,64763,2,3/31/2025 12:00:00 AM,37500.0,0.0,Mercedes-Benz Lease Cash,Y,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Incentive Bonus,Y,11000.0,0.0,Mercedes Lease Bonus Cash,Y,7500.0,0.0,Mercedes Three Payment Loyalty Accelerator Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Five Payment Loyalty Accelerator Program ,N,0.0,0.0,MBFS Star Loyalty Bonus Program,N,3000.0,0.0,MBFS Reignite Bonus Program,N,3000.0,0.0,Mercedes Dealership Employee One Plus (DE1+),N,13000.0,0.0,,,,,2024
Mercedes-Benz,2024 Mercedes AMG EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,AMG,EQE,AWD 4MATIC+,SUV,EQE SUV,AMG EQE,Mercedes Benz Financial,116005.0,109601.0,0.9447954829533,-3000.0,2024 Mercedes AMG EQE SUV,2024,AMGEQEX4 AMG EQEX4,EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,,,,,,0.00042,51.0,True,0.00042,50.0,True,0.00042,49.0,True,0.00042,48.0,True,0.00042,47.0,True,0.00042,45.0,True,0.00042,44.0,True,0.00042,38.0,True,64764,2,3/31/2025 12:00:00 AM,37500.0,0.0,Mercedes-Benz Lease Cash,Y,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Incentive Bonus,Y,11000.0,0.0,Mercedes Lease Bonus Cash,Y,7500.0,0.0,Mercedes Three Payment Loyalty Accelerator Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Five Payment Loyalty Accelerator Program ,N,0.0,0.0,MBFS Star Loyalty Bonus Program,N,3000.0,0.0,MBFS Reignite Bonus Program,N,3000.0,0.0,Mercedes Dealership Employee One Plus (DE1+),N,13000.0,0.0,,,,,2024
Mercedes-Benz,2024 Mercedes AMG EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,AMG,EQE,AWD 4MATIC+,SUV,EQE SUV,AMG EQE,Mercedes Benz Financial,117270.0,110790.0,0.9447429009976,-3000.0,2024 Mercedes AMG EQE SUV,2024,AMGEQEX4 AMG EQEX4,EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,,,,,,0.00042,51.0,True,0.00042,50.0,True,0.00042,49.0,True,0.00042,48.0,True,0.00042,47.0,True,0.00042,45.0,True,0.00042,44.0,True,0.00042,38.0,True,64765,2,3/31/2025 12:00:00 AM,37500.0,0.0,Mercedes-Benz Lease Cash,Y,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Incentive Bonus,Y,11000.0,0.0,Mercedes Lease Bonus Cash,Y,7500.0,0.0,Mercedes Three Payment Loyalty Accelerator Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Five Payment Loyalty Accelerator Program ,N,0.0,0.0,MBFS Star Loyalty Bonus Program,N,3000.0,0.0,MBFS Reignite Bonus Program,N,3000.0,0.0,Mercedes Dealership Employee One Plus (DE1+),N,13000.0,0.0,,,,,2024
Mercedes-Benz,2024 Mercedes AMG EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,AMG,EQE,AWD 4MATIC+,SUV,EQE SUV,AMG EQE,Mercedes Benz Financial,117780.0,111270.0,0.9447274579724,-3000.0,2024 Mercedes AMG EQE SUV,2024,AMGEQEX4 AMG EQEX4,EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,,,,,,0.00042,51.0,True,0.00042,50.0,True,0.00042,49.0,True,0.00042,48.0,True,0.00042,47.0,True,0.00042,45.0,True,0.00042,44.0,True,0.00042,38.0,True,64766,2,3/31/2025 12:00:00 AM,37500.0,0.0,Mercedes-Benz Lease Cash,Y,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Incentive Bonus,Y,11000.0,0.0,Mercedes Lease Bonus Cash,Y,7500.0,0.0,Mercedes Three Payment Loyalty Accelerator Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Five Payment Loyalty Accelerator Program ,N,0.0,0.0,MBFS Star Loyalty Bonus Program,N,3000.0,0.0,MBFS Reignite Bonus Program,N,3000.0,0.0,Mercedes Dealership Employee One Plus (DE1+),N,13000.0,0.0,,,,,2024
Mercedes-Benz,2024 Mercedes AMG EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,AMG,EQE,AWD 4MATIC+,SUV,EQE SUV,AMG EQE,Mercedes Benz Financial,120685.0,114000.0,0.9446078634461,-3000.0,2024 Mercedes AMG EQE SUV,2024,AMGEQEX4 AMG EQEX4,EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,,,,,,0.00042,51.0,True,0.00042,50.0,True,0.00042,49.0,True,0.00042,48.0,True,0.00042,47.0,True,0.00042,45.0,True,0.00042,44.0,True,0.00042,38.0,True,64767,2,3/31/2025 12:00:00 AM,37500.0,0.0,Mercedes-Benz Lease Cash,Y,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Incentive Bonus,Y,11000.0,0.0,Mercedes Lease Bonus Cash,Y,7500.0,0.0,Mercedes Three Payment Loyalty Accelerator Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Five Payment Loyalty Accelerator Program ,N,0.0,0.0,MBFS Star Loyalty Bonus Program,N,3000.0,0.0,MBFS Reignite Bonus Program,N,3000.0,0.0,Mercedes Dealership Employee One Plus (DE1+),N,13000.0,0.0,,,,,2024
Mercedes-Benz,2024 Mercedes AMG EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,AMG,EQE,AWD 4MATIC+,SUV,EQE SUV,AMG EQE,Mercedes Benz Financial,121000.0,114297.0,0.9446033057851,-3000.0,2024 Mercedes AMG EQE SUV,2024,AMGEQEX4 AMG EQEX4,EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,,,,,,0.00042,51.0,True,0.00042,50.0,True,0.00042,49.0,True,0.00042,48.0,True,0.00042,47.0,True,0.00042,45.0,True,0.00042,44.0,True,0.00042,38.0,True,64768,2,3/31/2025 12:00:00 AM,37500.0,0.0,Mercedes-Benz Lease Cash,Y,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Incentive Bonus,Y,11000.0,0.0,Mercedes Lease Bonus Cash,Y,7500.0,0.0,Mercedes Three Payment Loyalty Accelerator Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Five Payment Loyalty Accelerator Program ,N,0.0,0.0,MBFS Star Loyalty Bonus Program,N,3000.0,0.0,MBFS Reignite Bonus Program,N,3000.0,0.0,Mercedes Dealership Employee One Plus (DE1+),N,13000.0,0.0,,,,,2024
Mercedes-Benz,2024 Mercedes AMG EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,AMG,EQE,AWD 4MATIC+,SUV,EQE SUV,AMG EQE,Mercedes Benz Financial,121935.0,115175.0,0.9445606265633,-3000.0,2024 Mercedes AMG EQE SUV,2024,AMGEQEX4 AMG EQEX4,EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,,,,,,0.00042,51.0,True,0.00042,50.0,True,0.00042,49.0,True,0.00042,48.0,True,0.00042,47.0,True,0.00042,45.0,True,0.00042,44.0,True,0.00042,38.0,True,64769,2,3/31/2025 12:00:00 AM,37500.0,0.0,Mercedes-Benz Lease Cash,Y,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Incentive Bonus,Y,11000.0,0.0,Mercedes Lease Bonus Cash,Y,7500.0,0.0,Mercedes Three Payment Loyalty Accelerator Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Five Payment Loyalty Accelerator Program ,N,0.0,0.0,MBFS Star Loyalty Bonus Program,N,3000.0,0.0,MBFS Reignite Bonus Program,N,3000.0,0.0,Mercedes Dealership Employee One Plus (DE1+),N,13000.0,0.0,,,,,2024
Mercedes-Benz,2024 Mercedes AMG EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,AMG,EQE,AWD 4MATIC+,SUV,EQE SUV,AMG EQE,Mercedes Benz Financial,125250.0,118292.0,0.9444471057884,-3000.0,2024 Mercedes AMG EQE SUV,2024,AMGEQEX4 AMG EQEX4,EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,,,,,,0.00042,51.0,True,0.00042,50.0,True,0.00042,49.0,True,0.00042,48.0,True,0.00042,47.0,True,0.00042,45.0,True,0.00042,44.0,True,0.00042,38.0,True,64770,2,3/31/2025 12:00:00 AM,37500.0,0.0,Mercedes-Benz Lease Cash,Y,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Incentive Bonus,Y,11000.0,0.0,Mercedes Lease Bonus Cash,Y,7500.0,0.0,Mercedes Three Payment Loyalty Accelerator Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Five Payment Loyalty Accelerator Program ,N,0.0,0.0,MBFS Star Loyalty Bonus Program,N,3000.0,0.0,MBFS Reignite Bonus Program,N,3000.0,0.0,Mercedes Dealership Employee One Plus (DE1+),N,13000.0,0.0,,,,,2024
Mercedes-Benz,2024 Mercedes AMG EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,AMG,EQE,AWD 4MATIC+,SUV,EQE SUV,AMG EQE,Mercedes Benz Financial,119360.0,112755.0,0.9446632037533,-3000.0,2024 Mercedes AMG EQE SUV,2024,AMGEQEX4 AMG EQEX4,EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,,,,,,0.00042,51.0,True,0.00042,50.0,True,0.00042,49.0,True,0.00042,48.0,True,0.00042,47.0,True,0.00042,45.0,True,0.00042,44.0,True,0.00042,38.0,True,64771,2,3/31/2025 12:00:00 AM,37500.0,0.0,Mercedes-Benz Lease Cash,Y,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Incentive Bonus,Y,11000.0,0.0,Mercedes Lease Bonus Cash,Y,7500.0,0.0,Mercedes Three Payment Loyalty Accelerator Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Five Payment Loyalty Accelerator Program ,N,0.0,0.0,MBFS Star Loyalty Bonus Program,N,3000.0,0.0,MBFS Reignite Bonus Program,N,3000.0,0.0,Mercedes Dealership Employee One Plus (DE1+),N,13000.0,0.0,,,,,2024
Mercedes-Benz,2024 Mercedes AMG EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,AMG,EQE,AWD 4MATIC+,SUV,EQE SUV,AMG EQE,Mercedes Benz Financial,126350.0,119326.0,0.9444083893945,-3000.0,2024 Mercedes AMG EQE SUV,2024,AMGEQEX4 AMG EQEX4,EQE SUV,AMGEQEX4 4dr Wgn EQE AMG 4MATIC+,,,,,,0.00042,51.0,True,0.00042,50.0,True,0.00042,49.0,True,0.00042,48.0,True,0.00042,47.0,True,0.00042,45.0,True,0.00042,44.0,True,0.00042,38.0,True,64772,2,3/31/2025 12:00:00 AM,37500.0,0.0,Mercedes-Benz Lease Cash,Y,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Incentive Bonus,Y,11000.0,0.0,Mercedes Lease Bonus Cash,Y,7500.0,0.0,Mercedes Three Payment Loyalty Accelerator Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Rising Star Program ,N,0.0,0.0,Mercedes Five Payment Loyalty Accelerator Program ,N,0.0,0.0,MBFS Star Loyalty Bonus Program,N,3000.0,0.0,MBFS Reignite Bonus Program,N,3000.0,0.0,Mercedes Dealership Employee One Plus (DE1+),N,13000.0,0.0,,,,,2024
