MatrixPackage,Year,Code,MatrixRateModel,MatrixRateStyle,Package,Rate Model,Bank,MSRP,Invoice,Formula,Buying,Default Rebates,Nondefault Rebates,Rate Style,MF 12,RP 12,Live 12,MF 24,RP 24,Live 24,MF 27,RP 27,Live 27,MF 30,RP 30,Live 30,MF 33,RP 33,Live 33,MF 36,RP 36,Live 36,MF 39,RP 39,Live 39,MF 42,RP 42,Live 42,MF 48,RP 48,Live 48,Package Id,Bank Id,EndDate,MatirxRebatesSum,AISRebatesSum,Rebate1,RebateDefault1,MatrixValue1,AISValue1,Rebate2,RebateDefault2,MatrixValue2,AISValue2,Rebate3,RebateDefault3,MatrixValue3,AISValue3,Rebate4,RebateDefault4,MatrixValue4,AISValue4,Rebate5,RebateDefault5,MatrixValue5,AISValue5,Rebate6,RebateDefault6,MatrixValue6,AISValue6,Rebate7,RebateDefault7,MatrixValue7,AISValue7,Rebate8,RebateDefault8,MatrixValue8,AISValue8,Rebate9,RebateDefault9,MatrixValue9,AISValue9,Rebate10,RebateDefault10,MatrixValue10,AISValue10,Rebate11,RebateDefault11,MatrixValue11,AISValue11,Rebate12,RebateDefault12,MatrixValue12,AISValue12
2024 Acura ZDX AWD SUV,2024,3B2H4REW A-Spec AWD,ZDX AWD,3B2H4REW 4dr Wgn A-Spec,2024 Acura ZDX AWD SUV,ZDX AWD,American Honda Finance (Acura),70450,69208,0.982370476,0,,,3B2H4REW 4dr Wgn A-Spec,,,,0.0012,48.0,True,0.0012,47.0,True,0.0012,45.0,True,0.0012,43.0,True,0.0012,41,True,0.0028,39,True,0.00295,36.0,True,0.00295,31.0,True,70563,3,12/31/2025 0:00,1250,38000,Clean Vehicle Lease Credit,Y,0.0,7500.0,Captive Lease Offer,Y,0.0,7200.0,Dealer / Lease / Finance Cash,Y,0.0,5500.0,Regional Captive Lease Offer,Y,0.0,1650.0,Dealer / Lease / Finance Cash,Y,0.0,2000.0,Acura Mobility Assistance Program,N,0.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,Acura Graduate Bonus Offer,N,500.0,0.0,Competitor Conquest Bonus,Y,0.0,1000.0,Federal EV Tax Credit,N,0.0,7500.0,AFS Loyalty/Conquest Offer,N,0.0,4000.0,"Regional Lease Support 
 
 Captive Lease Cash (Only for residents of CA, CO, CT, DC, DE
 
 ME, MD, MA, NJ, NY, NM, OR, RI, VT, or WA)",Y,0.0,1650.0
2024 Acura ZDX AWD SUV,2024,3B2H4REW A-Spec AWD,ZDX AWD,3B2H6REW 4dr Wgn Type S,2024 Acura ZDX AWD SUV,ZDX AWD,American Honda Finance (Acura),75450,73970,0.980384361,0,,,3B2H6REW 4dr Wgn Type S,,,,0.0012,47.0,True,0.0012,46.0,True,0.0012,44.0,True,0.0012,42.0,True,0.0012,40,True,0.0028,38,True,0.00295,35.0,True,0.00295,30.0,True,70564,3,12/31/2025 0:00,1250,38000,Clean Vehicle Lease Credit,Y,0.0,7500.0,Captive Lease Offer,Y,0.0,7200.0,Dealer / Lease / Finance Cash,Y,0.0,5500.0,Regional Captive Lease Offer,Y,0.0,1650.0,Dealer / Lease / Finance Cash,Y,0.0,2000.0,Acura Mobility Assistance Program,N,0.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,Acura Graduate Bonus Offer,N,500.0,0.0,Competitor Conquest Bonus,Y,0.0,1000.0,Federal EV Tax Credit,N,0.0,7500.0,AFS Loyalty/Conquest Offer,N,0.0,4000.0,"Regional Lease Support 
 
 Captive Lease Cash (Only for residents of CA, CO, CT, DC, DE
 
 ME, MD, MA, NJ, NY, NM, OR, RI, VT, or WA)",Y,0.0,1650.0
2024 Acura MDX AWD 7 Passenger,2024,YD8H8RKNW Type S Advance,MDX AWD,YD8H8RKNW 4dr Wgn Type-S Advance,2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),75750,71140,0.939141914,0,,,YD8H8RKNW 4dr Wgn Type-S Advance,,,,0.0038,53.0,True,0.0038,52.0,True,0.0038,50.0,True,0.0028,48.0,True,0.0028,46,True,0.0028,44,True,0.00295,42.0,True,0.00295,38.0,True,65538,3,12/31/2025 0:00,1250,3000,Acura Lease Loyalty Offer,N,0.0,1500.0,Acura Lease Loyalty Offer,N,0.0,1500.0,Acura Lease Cash,Y,0.0,0.0,Acura Graduate Bonus Offer,N,500.0,0.0,Acura Mobility Assistance Program,N,0.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,YD8H8RKNW Type S Advance,MDX AWD,YD8H8RKNW 4dr Wgn Type-S Advance,2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,75750,71140,0.939141914,0,,,YD8H8RKNW 4dr Wgn Type-S Advance,,,,,,,,,,,,,,,,0.0032,59,False,0.0032,59,False,,,,,,,65538,48,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Acura MDX AWD 7 Passenger,2025,YD8H8SKNW Type S Advance,MDX AWD,YD8H8SKNW 4dr Wgn Type-S Advance,2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),76900,72209,0.9389987,0,,,YD8H8SKNW 4dr Wgn Type-S Advance,,,,0.00174,58.0,True,0.00174,57.0,True,0.00174,55.0,True,0.00174,53.0,True,0.00174,51,True,0.00174,49,True,0.00174,47.0,True,0.00174,43.0,True,72037,3,12/31/2025 0:00,1250,1000,Acura Lease Cash,Y,0.0,0.0,Competitor Conquest Bonus,Y,0.0,1000.0,Acura Mobility Assistance Program,N,0.0,0.0,Acura Graduate Bonus Offer,N,500.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,YD8H9RKNW Type S,MDX AWD,YD8H9RKNW 4dr Wgn Type-S,2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),70400,66122,0.939232955,0,,,YD8H9RKNW 4dr Wgn Type-S,,,,0.0038,53.0,True,0.0038,52.0,True,0.0038,50.0,True,0.0028,48.0,True,0.0028,46,True,0.0028,44,True,0.00295,42.0,True,0.00295,38.0,True,65537,3,12/31/2025 0:00,1250,0,Acura Military Appreciation Offer,N,750.0,0.0,Acura Mobility Assistance Program,N,0.0,0.0,Acura Graduate Bonus Offer,N,500.0,0.0,Acura Lease Cash,Y,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,YD8H9RKNW Type S,MDX AWD,YD8H9RKNW 4dr Wgn Type-S,2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,70400,66122,0.939232955,0,,,YD8H9RKNW 4dr Wgn Type-S,,,,,,,,,,,,,,,,0.0032,59,False,0.0032,59,False,,,,,,,65537,48,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Acura MDX 2WD 7 Passenger,2025,YD9H4SKNW Tech,MDX 2WD,YD9H4SKNW 4dr Wgn Tech,2025 Acura MDX 2WD 7 Passenger,MDX 2WD,American Honda Finance (Acura),58250,54830,0.941287554,0,,,YD9H4SKNW 4dr Wgn Tech,,,,0.00174,61.0,True,0.00174,60.0,True,0.00174,58.0,True,0.00174,56.0,True,0.00174,54,True,0.00174,52,True,0.00174,50.0,True,0.00174,46.0,True,72035,3,12/31/2025 0:00,5150,0,Acura Mobility Assistance Program,N,0.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,Loyalty/Conquest Offer,N,1000.0,0.0,Captive Lease Offer,Y,2900.0,0.0,Acura Graduate Bonus Offer,N,500.0,0.0,Acura Lease Cash,Y,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,YE1H0RKNW A-Spec,MDX AWD,YE1H0RKNW 4dr Wgn Tech A-Spec,2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),62500,58833,0.941328,0,,,YE1H0RKNW 4dr Wgn Tech A-Spec,,,,0.0038,56.0,True,0.0038,55.0,True,0.0038,53.0,True,0.0028,51.0,True,0.0028,49,True,0.0028,47,True,0.00295,45.0,True,0.00295,41.0,True,60825,3,12/31/2025 0:00,1250,1000,Acura Lease Cash,Y,0.0,0.0,Acura Lease Loyalty Offer,N,0.0,1000.0,Acura Graduate Bonus Offer,N,500.0,0.0,Acura Mobility Assistance Program,N,0.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,YE1H0RKNW A-Spec,MDX AWD,YE1H0RKNW 4dr Wgn Tech A-Spec,2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,62500,58833,0.941328,0,,,YE1H0RKNW 4dr Wgn Tech A-Spec,,,,,,,,,,,,,,,,0.0032,70,False,0.0032,70,False,,,,,,,60825,48,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Acura MDX AWD 7 Passenger,2025,YE1H0SKNW A-Spec,MDX AWD,YE1H0SKNW 4dr Wgn Tech A-Spec,2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),63450,59726,0.941308117,0,,,YE1H0SKNW 4dr Wgn Tech A-Spec,,,,0.00174,61.0,True,0.00174,60.0,True,0.00174,58.0,True,0.00174,56.0,True,0.00174,54,True,0.00174,52,True,0.00174,50.0,True,0.00174,46.0,True,70561,3,12/31/2025 0:00,5150,1000,Acura Mobility Assistance Program,N,0.0,0.0,Loyalty/Conquest Offer,N,1000.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,Captive Lease Offer,Y,2900.0,0.0,Acura Graduate Bonus Offer,N,500.0,0.0,Competitor Conquest Bonus,Y,0.0,1000.0,Acura Lease Cash,Y,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,"YE1H3RJNW (Excl A-Spec, Tech, Adv, Type S & Type S Adv)",MDX AWD,YE1H3RJNW 4dr Wgn,2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),53845,52957,0.983508218,0,,,YE1H3RJNW 4dr Wgn,,,,0.0038,56.0,True,0.0038,55.0,True,0.0038,53.0,True,0.0028,51.0,True,0.0028,49,True,0.0028,47,True,0.00295,45.0,True,0.00295,41.0,True,60823,3,12/31/2025 0:00,1250,0,Acura Mobility Assistance Program,N,0.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,Acura Graduate Bonus Offer,N,500.0,0.0,Acura Lease Cash,Y,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,"YE1H3RJNW (Excl A-Spec, Tech, Adv, Type S & Type S Adv)",MDX AWD,YE1H3RJNW 4dr Wgn,2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,53845,52957,0.983508218,0,,,YE1H3RJNW 4dr Wgn,,,,,,,,,,,,,,,,0.0032,70,False,0.0032,70,False,,,,,,,60823,48,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Acura MDX AWD 7 Passenger,2025,"YE1H3SJNW (Excl Tech, A-Spec, Adv, A-Spec Adv & Type S Adv)",MDX AWD,YE1H3SJNW 4dr Wgn,2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),54300,52958,0.975285451,0,,,YE1H3SJNW 4dr Wgn,,,,0.00174,63.0,True,0.00174,62.0,True,0.00174,60.0,True,0.00174,58.0,True,0.00174,56,True,0.00174,54,True,0.00174,52.0,True,0.00174,48.0,True,70559,3,12/31/2025 0:00,5150,1000,Acura Lease Cash,Y,0.0,0.0,Competitor Conquest Bonus,Y,0.0,1000.0,Acura Graduate Bonus Offer,N,500.0,0.0,Captive Lease Offer,Y,2900.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,Loyalty/Conquest Offer,N,1000.0,0.0,Acura Mobility Assistance Program,N,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,YE1H4RKNW Tech,MDX AWD,YE1H4RKNW 4dr Wgn Tech,2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),59000,55656,0.943322034,0,,,YE1H4RKNW 4dr Wgn Tech,,,,0.0038,55.0,True,0.0038,54.0,True,0.0038,52.0,True,0.0028,50.0,True,0.0028,48,True,0.0028,46,True,0.00295,44.0,True,0.00295,40.0,True,60824,3,12/31/2025 0:00,1250,750,Acura Lease Cash,Y,0.0,0.0,Acura Lease Loyalty Offer,N,0.0,750.0,Acura Graduate Bonus Offer,N,500.0,0.0,Acura Mobility Assistance Program,N,0.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,YE1H4RKNW Tech,MDX AWD,YE1H4RKNW 4dr Wgn Tech,2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,59000,55656,0.943322034,0,,,YE1H4RKNW 4dr Wgn Tech,,,,,,,,,,,,,,,,0.0032,69,False,0.0032,69,False,,,,,,,60824,48,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Acura MDX AWD 7 Passenger,2025,YE1H4SKNW Tech,MDX AWD,YE1H4SKNW 4dr Wgn Tech,2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),60450,57023,0.943308519,0,,,YE1H4SKNW 4dr Wgn Tech,,,,0.00174,61.0,True,0.00174,60.0,True,0.00174,58.0,True,0.00174,56.0,True,0.00174,54,True,0.00174,52,True,0.00174,50.0,True,0.00174,46.0,True,70560,3,12/31/2025 0:00,5150,1000,Acura Mobility Assistance Program,N,0.0,0.0,Loyalty/Conquest Offer,N,1000.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,Captive Lease Offer,Y,2900.0,0.0,Acura Graduate Bonus Offer,N,500.0,0.0,Acura Lease Cash,Y,0.0,0.0,Competitor Conquest Bonus,Y,0.0,1000.0,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,YD8H8RKNW Type S Advance,MDX AWD,YE1H8RKNW 4dr Wgn Advance,2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),66050,62042,0.939318698,0,,,YE1H8RKNW 4dr Wgn Advance,,,,0.0038,55.0,True,0.0038,54.0,True,0.0038,52.0,True,0.0028,50.0,True,0.0028,48,True,0.0028,46,True,0.00295,44.0,True,0.00295,40.0,True,60826,3,12/31/2025 0:00,1250,3000,Acura Lease Loyalty Offer,N,0.0,1500.0,Acura Lease Loyalty Offer,N,0.0,1500.0,Acura Lease Cash,Y,0.0,0.0,Acura Graduate Bonus Offer,N,500.0,0.0,Acura Mobility Assistance Program,N,0.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024 Acura MDX AWD 7 Passenger,2024,YD8H8RKNW Type S Advance,MDX AWD,YE1H8RKNW 4dr Wgn Advance,2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,66050,62042,0.939318698,0,,,YE1H8RKNW 4dr Wgn Advance,,,,,,,,,,,,,,,,0.0032,69,False,0.0032,69,False,,,,,,,60826,48,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Acura MDX AWD 7 Passenger,2025,YE1H8SKNW Advance,MDX AWD,YE1H8SKNW 4dr Wgn Advance,2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),67950,63823,0.939264165,0,,,YE1H8SKNW 4dr Wgn Advance,,,,0.00174,58.0,True,0.00174,57.0,True,0.00174,55.0,True,0.00174,53.0,True,0.00174,51,True,0.00174,49,True,0.00174,47.0,True,0.00174,43.0,True,70562,3,12/31/2025 0:00,5150,1000,Acura Lease Cash,Y,0.0,0.0,Competitor Conquest Bonus,Y,0.0,1000.0,Acura Graduate Bonus Offer,N,500.0,0.0,Captive Lease Offer,Y,2900.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,Loyalty/Conquest Offer,N,1000.0,0.0,Acura Mobility Assistance Program,N,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2025 Acura MDX AWD 7 Passenger,2025,YE1H9SKNW A-Spec Advance,MDX AWD,YE1H9SKNW 4dr Wgn A-Spec Advance,2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),69950,65700,0.939242316,0,,,YE1H9SKNW 4dr Wgn A-Spec Advance,,,,0.00174,58.0,True,0.00174,57.0,True,0.00174,55.0,True,0.00174,53.0,True,0.00174,51,True,0.00174,49,True,0.00174,47.0,True,0.00174,43.0,True,75286,3,12/31/2025 0:00,5150,1000,Acura Mobility Assistance Program,N,0.0,0.0,Loyalty/Conquest Offer,N,1000.0,0.0,Acura Military Appreciation Offer,N,750.0,0.0,Captive Lease Offer,Y,2900.0,0.0,Acura Graduate Bonus Offer,N,500.0,0.0,Competitor Conquest Bonus,Y,0.0,1000.0,Acura Lease Cash,Y,0.0,0.0,,,,,,,,,,,,,,,,,,,,
